Survey ID,Age,Gender,Ethnicity,Education Completed,Marital Status,Household Size,Spouse,Children,Parent,Religion,Full Time Employment,Part Time Employment,Employment Type,Student,Retired,Occupation,Income,Achieving Ends Meet,US Born,Duration of Residency,Citizenship Class,English Speaking,Familiarity with America,Familiarity with Ethnic Origin,Present Health,Present Mental Health,Health Insurance,Status of Ownership,Personal Car,Satisfaction with Life,Quality of Life
40214,32,Female,Chinese,17,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,22,No,Very well,Very high,High,Very Good,Very Good,Yes,Rent,Yes,Not very much,8
60073,23,Female,Chinese,17,Single,1,0,0,0,None,Employed full time,0,Full Time,0,0,Other,"$70,000 and over",0,No,2,No,Not well,High,Very high,Very Good,Good,Yes,Rent,Yes,Pretty much,8
50125,22,Male,Chinese,16,Single,2,0,0,0,None,0,0,None,Student,0,None,,,No,0.5,Yes,Not at all,Very low,Low,Very Good,Very Good,Yes,Rent,Yes,Pretty much,7
60164,25,Female,Chinese,17,Other,5,0,0,0,Protestant,0,0,None,Student,0,Service worker,"$60,000 - $69,999",0,No,2,No,Well,High,Very high,Good,Fair,0,Own,Yes,,7
60220,48,Male,Chinese,16,Married,3,Living with spouse,0,0,,Employed full time,0,Full Time,0,0,Service worker,"$0 - $9,999",0,No,0.5,No,Not at all,Very low,High,Good,Good,0,Rent,Yes,,3
60036,20,Male,Chinese,12,Single,2,0,0,0,None,0,0,None,Student,0,None,"$30,000 - $39,999",0,No,0.5,No,Not well,Low,High,Excellent,Excellent,Yes,Rent,No,Very much,10
40146,18,Male,Chinese,13,Single,2,0,0,Living with parents,None,0,0,None,Student,0,None,"$70,000 and over",0,Yes,18,No,Very well,Very high,,Excellent,Excellent,Yes,Rent,Yes,Very much,10
40149,18,Female,Chinese,13,Single,4,0,0,0,None,0,0,None,Student,0,None,"$20,000 - $29,999",0,Yes,18,No,Very well,Very high,High,Very Good,Very Good,Yes,Rent,Yes,Pretty much,8
60123,22,Male,Chinese,17,Single,4,0,0,0,None,0,0,None,Student,0,None,"$0 - $9,999",0,No,0.5,No,Not well,Low,High,Good,Good,Yes,Rent,No,,7
10040050,18,Female,Chinese,12,Single,4,0,0,Living with parents,None,0,0,None,Student,0,None,"$70,000 and over",0,No,17,Yes,Very well,Very high,Low,Excellent,Poor,Yes,Own,Yes,Pretty much,9
40212,36,Male,Chinese,17,Married,2,Living with spouse,0,0,None,0,0,None,0,0,Professional,"$70,000 and over",0,Yes,33,No,Very well,High,Low,Excellent,Excellent,Yes,Rent,Yes,Pretty much,9
60122,26,Male,Chinese,17,Living with a partner,3,0,0,0,None,Employed full time,0,Full Time,0,0,Skilled trades,"$60,000 - $69,999",0,No,3,No,Not well,Low,Low,Very Good,Very Good,Yes,Rent,No,,7
10075,21,Male,Chinese,16,Single,4,0,0,0,None,0,0,None,Student,0,Skilled trades,"$30,000 - $39,999",0,No,0.5,No,Well,Low,Very high,Very Good,Excellent,0,Rent,No,Not very much,8
60076,20,Female,Chinese,12,Single,3,0,0,Living with parents,None,0,0,None,Student,0,Service worker,"$20,000 - $29,999",0,No,0.5,No,Not well,Low,High,Very Good,Good,0,Own,Yes,,8
50120,25,Female,Chinese,16,Single,2,0,0,0,None,0,0,None,Student,0,None,,0,No,3,No,Not well,High,Very high,Excellent,Excellent,0,Rent,Yes,,9
60033,31,Female,Chinese,17,Married,5,Living with spouse,Living with children,Living with parents,None,0,0,None,Student,0,None,"$70,000 and over",1,No,3,Yes,Not well,Low,Very high,Very Good,Very Good,Yes,Rent,Yes,Pretty much,7
60041,22,Male,Chinese,16,Single,3,0,0,0,None,0,0,None,Student,0,Other,"$30,000 - $39,999",0,No,0.5,No,Not well,Low,Low,Very Good,Very Good,Yes,Rent,No,Pretty much,8
60051,18,Female,Chinese,12,Single,3,0,0,0,None,0,0,None,Student,0,None,"$50,000 - $59,999",0,No,2,No,Not well,High,Very high,Excellent,Excellent,Yes,Rent,No,Very much,10
60087,25,Male,Chinese,17,Single,,0,0,0,None,0,0,None,Student,0,"Clerical, office, sales","$0 - $9,999",0,No,0.5,No,Not well,Low,Very high,Excellent,Excellent,Yes,Rent,No,Not at all,5
60111,26,Male,Chinese,17,Single,4,0,0,0,None,0,0,None,Student,0,Professional,"$10,000 - $19,999",0,No,0.5,No,Not well,High,High,Very Good,Very Good,Yes,Rent,No,Very much,9
60113,24,Male,Chinese,17,Married,4,0,0,0,None,0,0,None,Student,0,Professional,"$0 - $9,999",0,No,0.5,No,Not well,Low,High,Excellent,Excellent,Yes,Rent,No,Very much,7
60114,28,Male,Chinese,17,Single,2,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$40,000 - $49,999",0,No,1,No,Well,Low,High,Excellent,Excellent,Yes,Rent,No,Pretty much,8
50212,64,Female,Chinese,12,Married,5,0,Living with children,0,None,0,0,None,0,Retired,None,,0,No,0.5,Yes,Not at all,Very low,High,Fair,Fair,0,Own,Yes,,8
60053,22,Female,Chinese,17,Single,3,0,0,0,None,0,0,None,Student,0,"Manager, executive, or official","$10,000 - $19,999",1,No,0.5,No,Not at all,Very low,High,Good,Good,Yes,Rent,No,,5
10446,27,Female,Asian Indian,17,Married,2,Living with spouse,0,0,Hindu,Employed full time,0,Full Time,0,0,Professional,"$70,000 and over",0,No,5,No,Well,Low,Low,Good,Good,Yes,Rent,Yes,Pretty much,9
40144,22,Female,Chinese,17,Single,2,0,0,0,None,0,0,None,Student,0,None,"$20,000 - $29,999",0,No,5,No,Well,High,High,Excellent,Excellent,Yes,Own,No,Pretty much,10
50110,55,Male,Chinese,8,Single,3,0,0,0,Buddhist,Employed full time,0,Full Time,0,0,Service worker,"$10,000 - $19,999",1,No,38,No,Not well,Low,High,Good,Good,Yes,Rent,Yes,Pretty much,7
50112,29,Male,Chinese,17,Single,4,0,0,Living with parents,None,0,0,None,Student,0,Professional,"$40,000 - $49,999",0,No,0.5,No,Not well,High,Very high,Very Good,Very Good,Yes,Own,No,Pretty much,7
60078,22,Male,Chinese,17,Single,3,0,0,0,None,0,0,None,Student,0,Professional,"$20,000 - $29,999",1,No,0.5,No,Well,High,High,Good,Good,Yes,Rent,Yes,,5
60109,24,Male,Chinese,17,Single,4,0,0,0,None,0,0,None,Student,0,None,"$10,000 - $19,999",0,No,3,No,Not well,Low,High,Good,Very Good,Yes,Rent,Yes,Pretty much,8
40111,68,Female,Chinese,16,Married,2,Living with spouse,0,0,Catholic,0,0,None,0,Retired,None,"$40,000 - $49,999",0,No,45,No,Very well,High,High,Very Good,Very Good,Yes,Own,Yes,Very much,9
40141,42,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,"Manager, executive, or official","$70,000 and over",0,No,3,No,Very well,Low,Very high,Good,Good,Yes,Own,Yes,,9
60118,56,Female,Chinese,10,Married,4,Living with spouse,Living with children,0,None,0,0,None,0,0,Business owner,"$20,000 - $29,999",0,No,27,Yes,Not well,Low,Very high,Poor,Fair,Yes,Own,Yes,Not very much,8
60125,24,Male,Chinese,17,Single,1,0,0,0,None,0,0,None,Student,0,None,"$10,000 - $19,999",,No,,No,Not well,Low,High,Good,Good,0,Own,No,,6
50124,22,Female,Chinese,17,Other,3,0,0,0,Buddhist,0,0,None,Student,0,Other,"$40,000 - $49,999",0,No,0.5,No,Well,High,Very high,Good,Good,Yes,Rent,No,Very much,7
50102,20,Female,Chinese,13,Single,5,0,0,0,Buddhist,0,0,None,Student,0,None,,,No,1,No,Not well,Low,High,Very Good,Very Good,Yes,Own,Yes,,9
60221,37,Male,Chinese,17,Married,3,Living with spouse,Living with children,0,None,Employed full time,0,Full Time,0,0,Professional,"$50,000 - $59,999",0,No,0.5,No,Not well,Low,Very high,Good,Good,Yes,Rent,Yes,,7
60066,60,Male,Chinese,16,Married,3,0,Living with children,0,None,0,0,None,0,Retired,None,"$0 - $9,999",0,No,0.5,Yes,Not at all,Very low,High,Fair,Fair,0,Rent,Yes,,4
10128,18,Male,Chinese,12,Single,4,0,0,0,None,0,0,None,Student,0,None,"$70,000 and over",0,Yes,18,No,Very well,Very high,Low,Very Good,Good,Yes,Own,Yes,,8
60086,22,Male,Chinese,16,Single,4,0,0,0,None,0,0,None,Student,0,None,"$0 - $9,999",0,No,0.5,No,Well,High,High,Very Good,Very Good,Yes,Rent,No,,8
60198,75,Male,Chinese,16,Married,4,0,Living with children,0,None,0,0,None,0,Retired,Professional,"$30,000 - $39,999",0,No,6,No,Not well,Low,Low,Very Good,Very Good,0,Rent,No,,6
60235,71,Female,Chinese,16,Married,5,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$40,000 - $49,999",0,No,0.5,No,Not at all,Very low,High,Poor,Fair,0,Own,No,,3
50123,23,Male,Chinese,17,Single,2,0,0,0,None,0,0,None,Student,0,None,,0,No,0.5,No,Not at all,Low,High,Very Good,Very Good,Yes,Rent,Yes,Pretty much,8
50190,61,Male,Chinese,14,Married,7,0,Living with children,0,None,0,0,None,0,Retired,Business owner,"$70,000 and over",0,No,0.5,No,Not at all,Low,High,Very Good,Very Good,Yes,Rent,Yes,,8
40187,23,Female,Chinese,16,Single,5,0,0,Living with parents,None,Employed full time,0,Full Time,0,0,Professional,"$50,000 - $59,999",0,Yes,23,Yes,Very well,Very high,High,Excellent,Excellent,Yes,Own,Yes,Pretty much,8
60054,23,Female,Chinese,17,Single,3,0,0,0,None,0,0,None,Student,0,Professional,"$30,000 - $39,999",0,No,0.5,No,Not well,Low,High,Very Good,Very Good,Yes,Rent,No,Pretty much,8
60077,44,Female,Chinese,16,Married,4,Living with spouse,Living with children,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,16,Yes,Not well,High,High,Very Good,Very Good,Yes,Own,Yes,Very much,8
50009,66,Female,Chinese,16,Married,5,0,Living with children,0,None,0,0,None,0,Retired,None,"$50,000 - $59,999",0,No,0.5,No,Not at all,Low,High,Fair,Fair,0,Own,No,,2
60085,47,Male,Chinese,16,Married,4,0,Living with children,0,None,0,0,None,0,0,None,"$70,000 and over",0,No,2,No,Not well,Low,Very high,Fair,Fair,Yes,Own,Yes,Pretty much,8
60137,60,Female,Chinese,12,Single,3,0,Living with children,0,None,0,0,None,0,Retired,None,,0,No,0.5,,Not at all,Low,High,Very Good,Good,0,Own,Yes,,
60152,76,Female,Chinese,16,Married,6,0,Living with children,0,,0,0,None,0,Retired,None,,0,No,0.5,Yes,Not at all,Low,High,Good,Good,0,Own,Yes,,7
60154,64,Female,Chinese,12,Married,3,0,Living with children,0,None,0,0,None,0,Retired,None,,0,No,0.5,Yes,Not at all,,Low,Fair,Good,Yes,Own,Yes,,7
50039,69,Male,Chinese,17,Married,2,Living with spouse,0,0,Protestant,0,0,None,0,Retired,"Manager, executive, or official","$70,000 and over",0,No,33,No,Not well,High,High,Good,Very Good,Yes,Own,Yes,Pretty much,5
50194,36,Female,Chinese,17,Married,4,Living with spouse,Living with children,0,Buddhist,0,0,None,0,0,None,"$70,000 and over",0,No,0.5,No,Not well,Low,High,Good,Good,Yes,Own,Yes,,7
10082,19,Female,Chinese,13,Single,4,0,0,Living with parents,None,0,0,None,Student,0,None,"$10,000 - $19,999",0,No,9,Yes,Very well,High,High,Very Good,Excellent,Yes,Rent,Yes,,9
11078,18,Female,Chinese,12,Single,4,0,0,Living with parents,Protestant,0,0,None,Student,0,None,"$70,000 and over",0,No,16,No,Very well,Very high,Very low,Poor,Poor,Yes,Own,Yes,Pretty much,10
40123,22,Female,Chinese,16,Single,4,0,0,0,Protestant,0,0,None,Student,0,None,"$20,000 - $29,999",0,No,0.5,No,Well,High,High,Good,Good,Yes,Rent,No,Pretty much,8
50019,68,Female,Chinese,16,Married,2,0,Living with children,0,None,0,0,None,0,Retired,Professional,"$0 - $9,999",0,No,,No,Not at all,Low,High,Good,Good,0,Own,Yes,Very much,8
50122,22,Female,Chinese,16,Single,5,0,0,Living with parents,None,0,0,None,Student,0,None,"$10,000 - $19,999",0,No,1,Yes,Well,High,High,Very Good,Very Good,Yes,Rent,Yes,Pretty much,8
60107,67,Female,Chinese,9,Married,5,0,Living with children,0,None,0,0,None,0,Retired,None,,1,No,0.5,No,Not at all,Very low,Low,Poor,Fair,0,Own,Yes,,5
60083,28,Female,Chinese,16,Married,2,Living with spouse,0,0,None,0,0,None,0,0,Other,"$70,000 and over",0,No,1,No,Not at all,Very low,High,Very Good,Very Good,Yes,Rent,Yes,,6
60185,66,Male,Chinese,17,Living with a partner,2,Living with spouse,0,0,Buddhist,0,0,None,0,Retired,None,"$40,000 - $49,999",1,No,42,No,Well,High,High,Good,Good,Yes,Own,Yes,Pretty much,8
60181,60,Male,Chinese,13,Married,6,0,Living with children,0,None,0,0,None,0,Retired,"Manager, executive, or official","$50,000 - $59,999",0,No,0.5,No,Not at all,High,High,Good,Good,0,Own,Yes,,6
10279,29,Male,Chinese,14,Single,2,0,0,0,Buddhist,Employed full time,0,Full Time,0,0,Service worker,"$30,000 - $39,999",0,Yes,29,No,Very well,High,High,Very Good,Excellent,0,Rent,Yes,Pretty much,8
40231,39,Female,Chinese,16,Married,6,Living with spouse,Living with children,Living with parents,Catholic,0,0,None,0,0,None,,0,No,0.5,No,Very well,High,Very high,Very Good,Very Good,Yes,Own,Yes,,10
60115,27,Male,Chinese,17,Single,4,0,0,0,None,Employed full time,0,Full Time,0,0,Other,"$10,000 - $19,999",1,No,0.5,No,Not well,Low,High,Very Good,Good,Yes,Rent,No,Pretty much,7
60169,20,Female,Chinese,14,Single,2,0,0,0,None,0,0,None,Student,0,None,"$20,000 - $29,999",0,No,0.25,No,Not well,High,High,Very Good,Fair,Yes,Rent,No,,6
1094600,22,Female,Chinese,16,Single,3,0,0,0,None,0,Employed part time,Part Time,Student,0,Professional,"$50,000 - $59,999",0,No,0.9,No,Well,High,High,Very Good,Excellent,Yes,Rent,No,Not very much,9
40120,32,Female,Chinese,16,Married,6,Living with spouse,Living with children,Living with parents,None,Employed full time,0,Full Time,0,0,Other,"$50,000 - $59,999",1,No,9,Yes,Very well,High,High,Very Good,Very Good,Yes,Rent,Yes,,8
40137,24,Female,Chinese,14,Married,3,Living with spouse,0,0,None,0,Employed part time,Part Time,0,0,Service worker,"$70,000 and over",0,No,1,No,Well,High,Very high,Excellent,Excellent,Yes,Rent,Yes,Very much,10
40143,19,Male,Chinese,13,Single,5,0,0,0,None,0,0,None,Student,0,None,"$10,000 - $19,999",0,Yes,19,No,Very well,Very high,Low,Good,Excellent,Yes,Rent,Yes,Very much,7
50149,28,Male,Chinese,16,Single,1,0,0,0,None,Employed full time,0,Full Time,0,0,Professional,"$60,000 - $69,999",0,No,1,No,Not well,Low,High,Very Good,Good,Yes,Rent,Yes,Very much,8
40150,19,Female,Chinese,13,Single,2,0,0,0,None,0,0,None,Student,0,None,"$60,000 - $69,999",0,No,16,No,Very well,Very high,High,Excellent,Excellent,Yes,Rent,Yes,Very much,9
